site	product_id	variant_id	old_price	quantity	isbn10	condition	download_time	basic_price
ST	11696708367	47298154191	30.95	7	0809141809	new	20191002	
ST	11825920399	48043426575	33.99	7	194175998X	new	20191002	
ST	11825920399	48446714703	33.99	7	194175998X	used	20191002	
ST	11735576207	47650502927	124.78	6	1609713125	new	20191002	
ST	11735576207	47850676815	86.38	7	1609713125	used	20191002	
ST	11746486863	47711449743	79.84	4	0837316642	new	20191002	
ST	11746486863	48444147023	79.81	7	0837316642	used	20191002	
ST	11808267663	47987010575	23.99	6	1548992763	new	20191002	
ST	11808267663	48055226703	23.99	5	1548992763	used	20191002	
ST	11735536911	47650114255	70.38	3	1609713044	new	20191002	
ST	11735536911	48061022031	70.38	7	1609713044	used	20191002	
ST	11735522831	47649961743	70.38	3	1609713036	new	20191002	
ST	11735522831	47850564687	70.38	3	1609713036	used	20191002	
ST	11746414543	47711294607	41.02	4	0837341175	new	20191002	
ST	11746414543	48444804175	41.02	6	0837341175	used	20191002	
ST	11735520015	47649952207	70.38	5	1609713052	new	20191002	
ST	11735520015	47850553871	70.38	5	1609713052	used	20191002	
ST	11746401551	47711273423	63.98	3	1507750633	new	20191002	
ST	11746401551	48445454031	63.98	6	1507750633	used	20191002	
ST	11746173199	47710694735	63.98	7	150776877X	new	20191002	
ST	11746173199	48445454095	63.98	6	150776877X	used	20191002	
ST	11746163791	47710658383	63.98	6	1494939916	new	20191002	
ST	11746163791	48445200079	59.84	6	1494939916	used	20191002	
ST	11746505487	47711526479	187.5	3	0837346207	new	20191002	
ST	11746505487	48444873423	187.47	3	0837346207	used	20191002	
ST	11746477071	47711421647	112.14	4	0837301793	new	20191002	
ST	11746477071	48443798735	112.1	4	0837301793	used	20191002	
ST	11735583695	47650604367	109.73	6	083736454X	new	20191002	
ST	11735583695	48061022287	100.99	6	083736454X	used	20191002	
ST	11746347855	47711188687	607.98	3	1609713079	new	20191002	
ST	11746347855	48445780751	607.98	3	1609713079	used	20191002	
ST	11746630031	47711989135	85.3	6	0837358310	new	20191002	
ST	11746630031	48444942095	83.71	6	0837358310	used	20191002	
ST	11735501967	47649869583	70.38	5	1609713095	new	20191002	
ST	11735501967	48061022351	70.37	3	1609713095	used	20191002	
ST	11735496015	47649847567	57.89	5	1609713087	new	20191002	
ST	11735496015	47850510351	58.24	6	1609713087	used	20191002	
ST	11735569807	47650446159	70.38	4	1609714288	new	20191002	
ST	11735569807	48061022415	70.38	3	1609714288	used	20191002	
ST	11735568847	47650428303	70.38	5	160971427X	new	20191002	
ST	11735568847	48061022543	58.06	5	160971427X	used	20191002	
ST	11746434319	47711320911	63.86	3	0837335604	new	20191002	
ST	11746434319	48444631695	54.37	3	0837335604	used	20191002	
ST	11735555343	47650319439	86.38	3	1610720180	new	20191002	
ST	11735555343	47850637391	86.38	3	1610720180	used	20191002	
ST	11735544911	47650210191	86.38	3	1610720172	new	20191002	
ST	11735544911	47850615503	86.38	3	1610720172	used	20191002	
ST	11823792847	48036820687	400.0	3	0826161650	new	20191002	
ST	11823792847	48060756047	222.8	5	0826161650	used	20191002	
ST	11735468367	47649744335	120.0	4	0826110061	new	20191002	
ST	11735468367	48061022607	46.5	5	0826110061	used	20191002	
ST	11735496655	47649850575	92.32	7	1610723279	new	20191002	
ST	11735496655	47850512079	92.45	6	1610723279	used	20191002	
ST	11735485903	47649806159	54.38	4	1630944157	new	20191002	
ST	11735485903	47850494223	56.86	5	1630944157	used	20191002	
ST	11735484239	47649797775	92.62	3	1610723260	new	20191002	
ST	11735484239	47850491535	86.19	7	1610723260	used	20191002	
ST	11746555407	47711769551	64.54	6	0837364566	new	20191002	
ST	11746555407	48444942159	63.38	5	0837364566	used	20191002	
ST	11746406991	47711284879	75.78	7	0837364558	new	20191002	
ST	11746406991	48444942223	27.99	7	0837364558	used	20191002	
ST	11735473807	47649764431	87.02	5	1617110582	new	20191002	
ST	11735473807	47850484239	87.3	4	1617110582	used	20191002	
ST	11735493903	47649837903	0.0	0	1449646646	new	20191002	
ST	11735493903	48061022927	143.66	7	1449646646	used	20191002	
ST	11746478351	47711424911	120.34	7	0837358094	new	20191002	
ST	11746478351	48444942287	27.99	5	0837358094	used	20191002	
ST	11746470991	47711396495	113.39	4	0837338344	new	20191002	
ST	11746470991	48444739471	120.69	7	0837338344	used	20191002	
ST	11746366223	47711217807	134.1	6	0837340551	new	20191002	
ST	11746366223	48444804431	40.11	5	0837340551	used	20191002	
ST	11746146703	47710586639	64.54	5	0837358264	new	20191002	
ST	11746146703	48444942351	59.14	4	0837358264	used	20191002	
ST	11746438031	47711324943	134.05	3	083735840X	new	20191002	
ST	11746438031	48444942415	120.64	3	083735840X	used	20191002	
ST	11727562063	47600321679	120.7	7	3642253784	new	20191002	
ST	11727562063	47817380751	121.58	4	3642253784	used	20191002	
ST	11746200975	47710794511	62.85	4	0837358418	new	20191002	
ST	11746200975	48444942479	70.64	4	0837358418	used	20191002	
ST	11740171919	47675758223	108.02	3	3319224697	new	20191002	
ST	11740171919	48065281359	107.98	7	3319224697	used	20191002	
ST	11728106703	47605211215	94.4	4	0826108415	new	20191002	
ST	11728106703	47820196943	35.91	5	0826108415	used	20191002	
ST	11746763599	47712261199	478.32	5	1478769866	new	20191002	
ST	11746763599	48445148111	478.32	3	1478769866	used	20191002	
